lng,lat,pi,dst,sid,stn,dsts,types
-110.433333,43.966667,161,pollen,796,Fallback Lake,pollen,1
-116.1,53.6,146,pollen surface sample,880,GMM089,pollen surface sample,1
-113,51,146,pollen surface sample,903,GMM124,pollen surface sample,1
-80.506389,25.773611,710,pollen,965,"Water Conservation Area 3B, Gumbo Limbo Wet Head",pollen,1
-144.658333,63.94,117,pollen,1071,Hidden Lake,pollen,1
-86.3,36.08,32,pollen surface sample,1085,Site 4 (Delcourt 1978),pollen surface sample,1
-81.78,35.73,32,pollen surface sample,1095,Site 14 (Delcourt 1978),pollen surface sample,1
-64.8,44.48,742,pollen surface sample,1144,Site 8 (Railton 1973),pollen surface sample,1
-90.67,50.23,69,pollen surface sample,1225,Site 5 (McAndrews unpublished),pollen surface sample,1
-88.12,49.22,69,pollen surface sample,1235,Site 15 (McAndrews unpublished),pollen surface sample,1
-80.85,48.55,69,pollen surface sample,1240,Site 20 (McAndrews unpublished),pollen surface sample,1
-119.976667,33.956389,127,pollen,8,Abalone Rocks Marsh,pollen,1
-90.38,43.58,28,pollen surface sample,49,Green WD,pollen surface sample,1
-90.97,45.9,98,pollen surface sample,105,Site 35 (Swain unpublished),pollen surface sample,1
-78.75,42.1,98,pollen surface sample,120,Site 50 (Swain unpublished),pollen surface sample,1
-77.77,41.72,98,pollen surface sample,125,Site 55 (Swain unpublished),pollen surface sample,1
-75.8,40.85,98,pollen surface sample,141,Site 71 (Swain unpublished),pollen surface sample,1
-75.93,41.05,98,pollen surface sample,143,Site 73 (Swain unpublished),pollen surface sample,1
-76.58,41.77,98,pollen surface sample,178,Site 108 (Swain unpublished),pollen surface sample,1
-89.5,44.5,98,pollen surface sample,199,Emily Lake,pollen surface sample,1
-76.78,78.491667,697,pollen,222,Baird Inlet [Rock Basin Lake],pollen,1
-123.48,44.5,238,pollen surface sample,387,Site 16 (Heusser 1978),pollen surface sample,1
-123.1,44.72,238,pollen surface sample,395,Site 24 (Heusser 1978),pollen surface sample,1
-123.84,47.45,238,pollen surface sample,435,Humptulips 1,pollen surface sample,1
-124.8,48.5,238,pollen surface sample,457,La Push,pollen surface sample,1
-107.0825,38.872222,237,pollen,494,Copley Lake,pollen,1
-80.795278,25.319444,710,pollen surface sample,550,Loop Road Site 1,pollen surface sample,1
-76.85,34.73,32,pollen surface sample,607,Site 44 (Delcourt  et al. 1983),pollen surface sample,1
-73.97,43.55,109,pollen surface sample,718,Site 9 (Whitehead and Jackson 1990),pollen surface sample,1
-74.17,43.87,109,pollen surface sample,724,Site 15 (Whitehead and Jackson 1990),pollen surface sample,1
172.166667,67.433333,306,pollen,779,"Enmyvaam River, 2.5-3 m terrace",pollen,1
-109.95,43.438889,746,pollen,817,Forest Pond 2,"pollen,
 loss-on-ignition",2
40.266667,43.283333,558,pollen,831,Gagra,pollen,1
-111.333333,53.933333,146,pollen surface sample,888,GMM104,pollen surface sample,1
-88.93,40.65,163,pollen surface sample,908,Lake Bloomington,pollen surface sample,1
-87.53,37.8,163,pollen surface sample,934,Site 132 (G.M. Peterson 1978),pollen surface sample,1
-56.666667,52.6,60,pollen surface sample,1009,HFL09,pollen surface sample,1
-62.733333,55.1,60,pollen surface sample,1034,HFL35,pollen surface sample,1
-90.45,50.916667,122,pollen,1113,Indian Lake,"pollen,
 loss-on-ignition",2
-65.78,44.1,742,pollen surface sample,1140,Site 4 (Railton 1973),pollen surface sample,1
-63.67,45.8,742,pollen surface sample,1152,Site 16 (Railton 1973),pollen surface sample,1
-132.62,69.38,86,pollen surface sample,1180,"Site 8 (Ritchie, J.C. 1974)",pollen surface sample,1
-108.466667,48.866667,69,pollen surface sample,1276,JHMN28 (McAndrews and Wright 1969),pollen surface sample,1
-109.516667,42.316667,69,pollen surface sample,1291,JHMS06 (McAndrews and Wright 1969),pollen surface sample,1
-105.533333,44.283333,69,pollen surface sample,1304,JHMS19 (McAndrews and Wright 1969),pollen surface sample,1
-131.18,68.58,86,pollen surface sample,1212,"Site 57 (Ritchie, J.C. 1974)",pollen surface sample,1
-92.4,49.68,69,pollen surface sample,1231,Site 11 (McAndrews unpublished),pollen surface sample,1
-110.5,48.883333,69,pollen surface sample,1270,JHMN22 (McAndrews and Wright 1969),pollen surface sample,1
